category,city,cnt
food,xianghe,1252
food,guan,1030
food,yongqing,644
food,sanhe,4026
food,bazhou,1649
food,yutian,1510
food,qianxi,836
food,leting,1029
food,luannan,876
food,luanxian,991
food,qianan,2117
food,zunhua,1742
food,qinglong,378
food,qhdfuning,1379
food,lulong,372
food,yuqing,297
food,sansha,34
food,wuzhishan,217
food,wenchang,1321
food,wanning,924
food,tunchang,262
food,qiongzhong,161
food,qionghai,2034
food,lingshui,792
food,lingao,372
food,dongfang,745
food,ledong,275
food,dingan,294
food,chengmai,622
food,changjiang,199
food,baoting,307
food,baisha,145
food,danzhou,1637
food,haikou,17243
food,boao,199
food,sanya,9164
food,fuchuan,233
food,zhaoping,289
food,zhongshanxian,362
food,jinxiu,168
food,xincheng,160
food,xiangzhou,290
food,wuxuan,363
food,heshanshi,207
food,huanjiang,191
food,luocheng,203
food,dahua,234
food,bama,252
food,duan,269
food,donglan,90
food,fengshan,107
food,tiane,121
food,nandan,221
food,yizhou,1253
food,longlin,118
food,tianlin,165
food,xilin,48
food,leye,84
food,lingyun,76
food,napo,92
food,jingxi,729
food,debao,544
food,pingguo,960
food,tiandong,394
food,tianyang,637
food,longzhou,241
food,ningming,358
food,tiandeng,235
food,fusui,449
food,daxin,280
food,pingxiangshi,282
food,shangsi,253
food,dongxing,704
food,hepu,1105
food,lingshan,899
food,pubei,366
food,bobai,753
food,luchuan,507
food,rongxian,666
food,xingye,190
food,beiliu,1211
food,pingnanxian,1112
food,guiping,1043
food,mengshan,240
food,tengxian,905
food,cangwu,660
food,cenxi,988
food,rongshui,542
food,sanjiang,358
food,rongan,495
food,luzhai,1140
food,liucheng,342
food,liujiang,908
food,gongcheng,321
food,longsheng,386
food,lipu,809
food,pingle,362
food,ziyuan,167
food,guanyang,173
food,yongfu,360
food,xinganxian,670
food,quanzhouxian,808
food,lingchuanxian,1712
food,yangsu,1996
food,mashan,203
food,longan,310
food,shanglin,255
food,binyang,1428
food,hengxian,745
food,wuming,1400
food,weizhoudao,96
food,laibin,3630
food,chongzuo,2859
food,fangchenggang,2974
food,hechi,4523
food,baise,5904
food,guangxiyulin,7521
food,qinzhou,4553
food,guigang,5317
food,hezhou,2561
food,beihai,7013
food,wuzhou,5815
food,liuzhou,14876
food,guilin,20722
food,nanning,38634
food,doumen,2526
food,chenghai,1968
food,chaoyangshantou,2182
food,huiyang,4596
food,xinhui,2919
food,shunde,15920
food,xuwen,740
food,suixixian,574
food,leizhou,936
food,lianjian,1533
food,wuchuan,1273
food,dianbai,1071
food,gaozhou,1407
food,xinyishi,1126
food,huazhou,1077
food,yangdong,868
food,yangchun,974
food,yangxi,781
food,yunanxian,390
food,xinxing,1032
food,yunan,96
food,luoding,1846
food,deqingxian,339
food,fengkai,254
food,huaiji,610
food,sihui,1693
food,guangning,438
food,gaoyao,1275
food,kaiping,2252
food,taishan,1898
food,heshan,1864
food,enping,901
food,huidong,3574
